time,temperature_2m (°C),precipitation (mm),wind_speed_10m (km/h),relative_humidity_2m (%),weather_code (wmo code)
2024-01-11T13:00,8.3,0,13.8,56,0
2024-01-11T14:00,9.3,0,14,53,0
2024-01-11T15:00,10.2,0,14,51,0
2024-01-11T16:00,10.7,0,15.2,49,0
2024-01-11T17:00,10.3,0,13.4,51,0
2024-01-11T18:00,8.4,0,11.5,56,0
2024-01-11T19:00,6.9,0,11.1,62,0
2024-01-11T20:00,6.4,0,12.1,63,0
2024-01-11T21:00,6,0,11,63,0
2024-01-11T22:00,4.9,0,8.4,67,0
2024-01-11T23:00,2.9,0,6.6,77,0
2024-01-12T00:00,2.9,0,8.4,77,0
2024-01-12T01:00,3.7,0,11.1,69,0
2024-01-12T02:00,2.7,0,8.9,73,0
2024-01-12T03:00,1.5,0,7.2,81,0
2024-01-12T04:00,0.9,0,7.2,83,0
2024-01-12T05:00,1.4,0,8.8,80,0
2024-01-12T06:00,0.8,0,8.9,83,1
2024-01-12T07:00,-0.1,0,6.9,85,0
2024-01-12T08:00,-0.3,0,6.8,86,3
2024-01-12T09:00,0.5,0,9.3,85,3
2024-01-12T10:00,2.8,0,11.4,79,3
2024-01-12T11:00,5.1,0,8.6,73,3
2024-01-12T12:00,7.6,0,14.4,62,3
2024-01-12T13:00,8.7,0,16.9,52,3
2024-01-12T14:00,9.1,0,18.3,48,3
2024-01-12T15:00,9.6,0,18.8,49,3
2024-01-12T16:00,9.2,0,17.1,53,3
2024-01-12T17:00,9.1,0,19.5,55,3
2024-01-12T18:00,9,0,21.9,59,3
2024-01-12T19:00,7.9,1.9,23,78,61
2024-01-12T20:00,8.8,0,24.9,81,3
2024-01-12T21:00,8.6,0.9,21.6,90,53
2024-01-12T22:00,9.7,3.5,23.1,91,63
2024-01-12T23:00,10.7,1.9,30,92,61
2024-01-13T00:00,12,0.4,23.8,94,51
2024-01-13T01:00,12.1,0.2,16.1,95,51
2024-01-13T02:00,12.3,0,13.4,96,3
2024-01-13T03:00,12.4,0,13.8,96,3
2024-01-13T04:00,11.8,0,11.6,98,3
2024-01-13T05:00,11,0,14.3,97,2
2024-01-13T06:00,10,0,14.6,96,1
2024-01-13T07:00,9.1,0,16.3,95,0
2024-01-13T08:00,8.6,0,17.6,93,0
2024-01-13T09:00,8.2,0,16.4,95,0
2024-01-13T10:00,9.4,0,21,89,0
2024-01-13T11:00,9.4,0.8,25.8,78,53
2024-01-13T12:00,8.2,0.2,25.2,76,51
2024-01-13T13:00,7.4,0,25.4,57,0
2024-01-13T14:00,8,0,29.6,39,0
2024-01-13T15:00,7.9,0,29.5,36,0
2024-01-13T16:00,6,0,28.8,40,0
2024-01-13T17:00,4.8,0,24.8,40,0
2024-01-13T18:00,3.7,0,18.4,41,0
2024-01-13T19:00,2.8,0,18.4,42,0
2024-01-13T20:00,2.2,0,16.9,43,0
2024-01-13T21:00,2.2,0,13.3,49,0
2024-01-13T22:00,1.8,0,13.7,50,0
2024-01-13T23:00,1.3,0,14.2,51,0
2024-01-14T00:00,0.9,0,12.9,52,0
2024-01-14T01:00,-0.1,0,10.8,58,0
2024-01-14T02:00,-0.9,0,9,62,0
2024-01-14T03:00,-1.8,0,7,67,0
2024-01-14T04:00,-2.3,0,6.3,71,0
2024-01-14T05:00,-2.7,0,5.9,74,0
2024-01-14T06:00,-2.9,0,8,75,0
2024-01-14T07:00,-2.8,0,10.5,73,0
2024-01-14T08:00,-2.3,0,13,67,0
2024-01-14T09:00,-0.1,0,17,61,0
2024-01-14T10:00,2,0,13.3,60,0
2024-01-14T11:00,4.7,0,16.5,54,0
2024-01-14T12:00,7,0,22.9,47,1
2024-01-14T13:00,4.4,0.5,27.1,66,71
2024-01-14T14:00,2.7,0.2,26.7,45,71
2024-01-14T15:00,2.2,0,23.2,44,1
2024-01-14T16:00,3.1,0,23.6,33,0
2024-01-14T17:00,1.9,0,19.8,31,0
2024-01-14T18:00,0.4,0,17.2,28,0
2024-01-14T19:00,-0.8,0,14.5,29,1
2024-01-14T20:00,-1.8,0,16.3,29,3
2024-01-14T21:00,-1.4,0,18.2,27,3
2024-01-14T22:00,-1.9,0,15.3,31,3
2024-01-14T23:00,-2,0,12.1,34,3
2024-01-15T00:00,-2.3,0,11.6,36,3
2024-01-15T01:00,-2.5,0,14.2,36,3
2024-01-15T02:00,-2.9,0,13.1,37,3
2024-01-15T03:00,-3.2,0.1,9.1,41,71
2024-01-15T04:00,-3.5,0.2,6,45,71
2024-01-15T05:00,-3.7,0.3,5,50,73
2024-01-15T06:00,-3.9,0.3,5.1,55,73
2024-01-15T07:00,-4,0.1,4,57,71
2024-01-15T08:00,-3.9,0,2.9,57,3
2024-01-15T09:00,-3.5,0,1.9,68,3
2024-01-15T10:00,-3.1,0,2.5,69,3
2024-01-15T11:00,-2.4,0,3.3,67,3
